Tweet text,Polarity,Subjectivity
@GLEZGAHS_G_N_W @NadineDorries @BorisJohnson If he where steamin. Ye probably wid though 😂😂,0.0,0.0
@ssewungu @PatriqKanyomozi @UmemeLtd @KensingtonRoyal @BorisJohnson @UKParliament One day he will be history...,0.0,0.0
@BorisJohnson The Churchill Factor: How One Man Made History is a book by British politician journalist and former Prime Minister of the United Kingdom Boris Johnson in which he details the life of former Prime Minister Sir Winston Churchill. Thank you Mr Boris Johnson 💙,0.0,0.0
Yo @BorisJohnson - checkout the predictions for next GE results from the Electoral Calculus website...interesting turnaround... https://t.co/b7n7jpCsFI,0.0,0.0
@FfjneCW4D3oMP2R @malarab1 @ElrondNetwork @cypto_1121 @JoeBiden @BorisJohnson @USAmbUK @BorisJohnson @JuanfraEscudero @KingAbdullahII @jlori @justinsuntron @Davincij15 @moha_jriwi,0.0,0.0
@lathamphil1 @peteratcmc @Conservatives @BorisJohnson Yes they did. And I wish they haven’t,0.0,0.0
@BlackspotUg @PatriqKanyomozi @UmemeLtd The killer won’t leave power good lord .@KensingtonRoyal @BorisJohnson @UKParliament,0.7,0.6000000000000001
@David_J_Bond @BorisJohnson @UKLabour #flipfloptories damaging pensions mortgages our international standing and much else. How many Tory party members now regret voting for the previously undistinguished @liztruss and the charmless #kwazikazae 12 years of damage is enough Go!,0.10666666666666666,0.2733333333333333
@DMokryk @BSBonner @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@GLEZGAHS_G_N_W @NadineDorries @BorisJohnson Ha. Fair doos champ,0.7,0.9
@SamRamani2 @YanaSuporovska @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@NOELreports @BSBonner @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@sssss234567891 @NadineDorries @BorisJohnson But ‘the people’ no longer want him.,0.0,0.0
@lathamphil1 @pradlinceysot @Conservatives @BorisJohnson They deserve too,0.0,0.0
@NadineDorries @BorisJohnson She is a hiya,0.0,0.0
@David_J_Bond @SueSuew21 @BorisJohnson @UKLabour They are #hacksinthepub drinking off the Sunak tit.,0.0,0.0
@jmhansler @NatashaBertrand @SecBlinken @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@Tt_t_1lastime @Adrian__buckley @ResinDesignsLt1 @CDN_Patriots @BorisJohnson @pfizer 😂😂😂,0.0,0.0
@pfizer @sajidjavid @BillGates @MSN@NHS @wef @WHO @BBCNews @BorisJohnson @JustinTrudeau @jacindaardern the time will come when you all will be held accountable. https://t.co/holxnspTqc,0.0,0.0
@fatchaz61 @SusanBanbury1 @NadineDorries @BorisJohnson She needs a weekly tv Comms &amp; a monthly tv address from her. Why is she not doing it ? I'm amazed. @trussliz @10DowningStreet,0.0,0.0
@lathamphil1 @Conservatives @BorisJohnson Labour are sitting back laughing at the infantile behaviour of some Tory MPs. They have been panicked by a relentles vendetta by the mainly left wing broadcasting media who campaigned against Boris and then carried on against Truss from the off. They need to show Party support.,-0.13333333333333333,0.11666666666666665
@mikelovestweets @lathamphil1 @Conservatives @BorisJohnson Correct.The only exception to that rule that I’m aware of is the 2016 referendum where I know substantial numbers of people voted in favour of leaving the EU on principle.,0.125,0.625
@nrogeiro RU earns 1 bn per day from our gaz and oil purchases. That must stop!! @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@Midge1415 @NadineDorries @BorisJohnson She makes me 🤢,0.0,0.0
@David_J_Bond @BorisJohnson @UKLabour Snowflake. Johnson is a pathological liar who was hoisted by his own petard. The new PM and Chancellor haven’t got an ounce of emotional intelligence between them. 71% of the electorate didn’t vote Tory in 2019 and it will be even more next time. Go crawl back under your rock.,0.20606060606060606,0.4340909090909091
@dwnews Fck. war criminal Putin! @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,-0.5,0.55
@Peaceou97195237 @NadineDorries @BorisJohnson They aren't economic migrants,0.2,0.2
@Biz_Ukraine_Mag @EmmanuelMacron is a disaster and by such statements bears responsibility for whatever may happen @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.5
@UnlockDemocracy @SpanishDan1 @BorisJohnson -10,0.0,0.0
@NadineDorries @BorisJohnson Still utterly deluded!,0.0,1.0
@Gerashchenko_en @EmmanuelMacron? @elonmusk ? U guys still speak 2 Putin? @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
#Abiy &amp; #Isaias are preparing financially to continue Genocide in #Tigray.The 🇪🇹 parliament has approved a 561.7 billion birr ($12.9 billion USD) budget for 2021/22. @WorldBank #IMF @ScottMorrisonMP @BorisJohnson @eucopresident @RgbeKeshiDEFUND #TigrayGenocide #TigrayUnderAttack https://t.co/L1nU0Ht6D0,0.0,0.0
Nope. Brexit is the greatest political scandal of this century. Closely followed by the entirety of @BorisJohnson Premiership. https://t.co/8uAWwoefBS,0.5,0.55
@elisled2 @charlesr1971 @BorisJohnson Aw bless....🙄  yes,0.0,0.0
C'mon help me out here I'm stuck @BorisJohnson @sajidjavid @MattHancock @nadhimzahawi @cabinetofficeuk @DominicRaab @grantshapps @pfizer @GMB @BBCNews @pritipatel @IndependentSage . Any idea what it's like being one as well? I think at least one of you must know? https://t.co/vEEdgmNSrD,-0.3,0.4
@JuliaDavisNews @BSBonner He knows he will end in prison! @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@Hillingdon_Tory @BorisJohnson You should be ashamed of yourselves,0.0,0.0
@VeselovaNatalca @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@alpine_mauve @NadineDorries @BorisJohnson With money?,0.0,0.0
@NileGardiner He’s marmite but @BorisJohnson certainly didn’t get the backing he needed. From get go he governed through a calamitous period in history. Starmer I’m afraid would have stammered until his removal had Labour won the election in 2019.,-0.19285714285714284,0.7357142857142858
@gavingks @BorisJohnson @RishiSunak Don't bring rishi he can't be trusted he spent 2 years planning on stabbing Boris in the back,-0.2333333333333333,0.3
@lathamphil1 @Conservatives @BorisJohnson It's never wrong to get rid of a sociopathic narcissist lawless immoral corrupt lying charlatan as PM unless you mean he should of been arrested?,-0.1875,0.8624999999999999
@David_J_Bond @BorisJohnson @UKLabour Becuse ur filthy tories are a total disgrace and have ruined this country … the MSM have finally learned the shambles that ur disgusting detested party is and are reporting honestly and it’s great to see that and I hope they keep doing it to obliterate ur horrible party,-0.2,0.9142857142857144
@RachelA1892 @Deborah93259422 @tomhfh @BorisJohnson Never happen because boris wouldn't put the three backstabbers in his cabinet Gove Sunak and shapps.Im sick of the two prominent partys in this country they are hell bent on making this country a third world country.,-0.07142857142857144,0.6190476190476191
@MattHancock @theresecoffey@BorisJohnson @trussliz#covidscam #vaccinedeaths#VaccineScam #Nuremberg2#PowerBreakDown #wearecomingforyouhttps://t.co/vGKmXMxi3G,0.0,0.0
@UnlockDemocracy @BorisJohnson Negative?,-0.3,0.4
@john4brexit Was @BorisJohnson a liar?,0.0,0.0
@NadineDorries @BorisJohnson No one believes a word you lying Tories say anymore...we need a GE,0.0,0.0
@KarlTurnerMP @BorisJohnson @DailyMirror Tosser.,0.0,0.0
@NadineDorries @BorisJohnson If she's 'absolutely committed' it means there's a U-turn about to happen. She has never been committed - but maybe she should be.,0.2,0.9
@NadineDorries @BorisJohnson We’ll wait and see.,0.0,0.0
@David_J_Bond @BorisJohnson @UKLabour Not a single UK voter voted for Truss and her mad delusional race to destroy the UK economy.Nobody!,-0.27976190476190477,0.4047619047619047
@UnlockDemocracy @SpanishDan1 @BorisJohnson 1,0.0,0.0
@mhmck @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@MacaesBruno @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@Hillingdon_Tory @BorisJohnson Absolute morons,-0.30000000000000004,0.95
@jackone007 @KarlTurnerMP @BorisJohnson @DailyMirror Found the Boris groupies 🤡,0.0,0.0
@lathamphil1 @Conservatives @BorisJohnson Doh.#JohnsonTheLiar #JohnsonPartiedWhilePeopleDied https://t.co/DFctLsxZDO,0.0,0.0
@Mariana_Betsa @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@Flash_news_ua @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@David_J_Bond @BorisJohnson @UKLabour Let’s remind you of that when msm starts on the labour govt..,0.0,0.0
@stu_hem @KarlTurnerMP @BorisJohnson @DailyMirror Just like his scummy mate Cameron. Funny that.,0.25,1.0
@lathamphil1 @Conservatives @BorisJohnson I agree. That 80 seat majority is looking sketchy now. I am close to handing back my membership  card. Failed on immigration that will be the pivotal point in the next GE.,0.0,0.275
@O_Ostapchuk @YanaSuporovska @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
Has @Jacob_Rees_Mogg left a copy of the passive agressive note he left on civil servants desk on @BorisJohnson. After all he clearly isn't 'wporking form home' He is skyving off for a nice little earner and a holdiay in term time! https://t.co/7tEk9iBmNv,0.09312499999999999,0.37666666666666665
@lathamphil1 @YvetteHenson @Conservatives @BorisJohnson Deselection would be a better course of action.,0.3,0.3
@KarlTurnerMP @2Nulliusinverba @BorisJohnson @DailyMirror His constituents must be so proud. The grift continues,0.8,1.0
@NadineDorries @BorisJohnson Gullible,0.0,0.0
@NadineDorries @BorisJohnson https://t.co/L7hUL7QRxz,0.0,0.0
@GlasnostGone @Twitter @Wagnergroup_ru @TwitterSupport @EmmanuelMacron @elonmusk @SecBlinken @jensstoltenberg @JustinTrudeau @BorisJohnson @antonioguterres @POTUS @KamalaHarris @vonderleyen @Pontifex @SecDef @Pontifex @trussliz @Bundeskanzler @nrogeiro,0.0,0.0
@David_J_Bond @BorisJohnson @UKLabour Have you actually read the Daily Mail Daily Express and Sun?,0.0,0.03333333333333333
@FraserNelson So now @BorisJohnson is to blame for the failure of @trussliz ?,-0.3166666666666667,0.3
@NadineDorries Bring back the man @BorisJohnson,0.0,0.0
@fatchaz61 @NadineDorries @BorisJohnson You support the Tories due to misinformation why do you want it to be different for others? Oh are UK gilts and pensions global etc? Party political lies (broadcasts) are only allowed when elections are called 😉,-0.025,0.41500000000000004
@Hillingdon_Tory @BorisJohnson Mugs,0.0,0.0
@BorisJohnson Mr Putin is giving an unusual image of russian people.,0.1,0.5
@NadineDorries @BorisJohnson Everything happens in the future with the tories its never gonna happen.,0.0,0.125
@FfjneCW4D3oMP2R @malarab1 @ElrondNetwork @cypto_1121 @JoeBiden @BorisJohnson @USAmbUK @BorisJohnson @JuanfraEscudero @KingAbdullahII @jlori @justinsuntron @Davincij15 @moha_jriwi @,0.0,0.0
@MetPoliceEvents @BorisJohnson should have kept the water cannons and not let @theresa_may force him to sell them at a loss. Leave them there should rain tomorrow.,0.0,0.0
@NadineDorries @dalewood @BorisJohnson Time for the party to get behind Liz. Otherwise we’ll have Starmer and his clowns running the show.,-0.4,0.7
The Ethiopian Amhara &amp; Eritrean forces committed this type of crime on the #Tigrayan civilians.@UN_HRC @Refugees @UNHumanRights @UNOCHA @hrw @berhe_lucy @nimaelbagir @EU_Commission @SecBlinken @USAmbUN @USAID @BorisJohnson @JosepBorrellF @PowerUSAID https://t.co/isW6CKdBpe https://t.co/04ppejD392,0.0,0.0
@BashaDulaimi111 @malarab1 @HZMCoin @ElrondNetwork @cypto_1121 @JoeBiden @BorisJohnson @USAmbUK @BorisJohnson @JuanfraEscudero @KingAbdullahII @jlori @justinsuntron @Davincij15 @moha_jriwi @,0.0,0.0
@Hillingdon_Tory @BorisJohnson 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😂😅😂😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅The final bunker moments are near,0.05,0.7
@Petra13941582 @campbellclaret @trussliz @BorisJohnson I am using the word ‘advisor’ in the loosest of senses. His advice was of course extremely bad. 😵‍💫,-0.6999999999999998,0.6666666666666666
@FfjneCW4D3oMP2R @malarab1 @ElrondNetwork @cypto_1121 @JoeBiden @BorisJohnson @USAmbUK @BorisJohnson @JuanfraEscudero @KingAbdullahII @jlori @justinsuntron @Davincij15 @moha_jriwi @,0.0,0.0
@RhonddaBryant @BorisJohnson is the best PM since Thatcher.   #NeverLabour #VoteConservative,1.0,0.3
@Hillingdon_Tory @BorisJohnson Are you hostages?,0.0,0.0
